,l,r
0,s,s
1,m,m
2,s,i
3,s,i
4,i,m
5,i,m
6,i,i
7,s,m
8,i,s
9,s,i
10,s,s
11,i,m
12,s,s
13,m,i
14,i,i
15,i,i
16,m,i
17,s,m
18,m,m
19,s,s
20,m,i
21,m,m
22,m,m
23,s,i
24,s,m
25,i,i
26,s,i
27,s,i
28,s,i
29,i,s
30,m,i
31,i,m
32,i,s
33,m,s
34,i,i
35,m,s
36,i,s
37,m,i
38,s,s
39,m,i
40,i,m
41,i,m
42,m,s
43,i,i
44,i,s
45,m,i
46,m,i
47,s,s
48,i,s
49,s,s
50,i,m
51,i,m
52,i,i
53,s,i
54,s,i
55,i,s
56,s,s
57,s,s
58,s,i
59,s,i
60,s,i
61,i,i
62,i,i
63,s,i
64,m,s
65,s,m
66,i,m
67,s,i
68,m,i
69,i,s
70,i,m
71,s,s
72,i,i
73,m,s
74,s,s
75,i,s
76,s,s
77,i,i
78,s,i
79,i,s
80,i,m
81,i,i
82,s,i
83,m,m
84,i,s
85,i,i
86,s,s
87,s,m
88,s,m
89,m,i
90,i,i
91,i,s
92,s,i
93,m,i
94,s,m
95,s,i
96,s,i
97,m,s
98,i,s
99,s,i
100,s,i
101,s,i
102,i,m
103,s,i
104,s,s
105,s,i
106,m,s
107,i,s
108,i,s
109,i,s
110,s,m
111,s,i
112,s,s
113,s,i
114,m,s
115,i,i
116,m,i
117,i,s
118,m,s
119,i,s
120,i,m
121,m,m
122,m,i
123,s,m
124,m,m
125,i,m
126,m,s
127,i,i
128,m,s
129,s,i
130,i,m
131,i,m
132,s,s
133,i,s
134,i,s
135,m,s
136,s,s
137,s,s
138,s,m
139,i,s
140,i,m
141,i,s
142,s,i
143,m,m
144,i,m
145,m,i
146,s,m
147,s,i
148,s,m
149,i,m
150,m,s
151,m,s
152,s,m
153,s,s
154,s,i
155,m,s
156,m,s
157,i,s
158,m,i
159,s,m
160,i,s
161,s,s
162,s,s
163,s,s
164,s,s
165,s,s
166,s,s
167,s,i
168,s,s
169,i,m
170,s,i
171,s,s
172,s,m
173,i,m
174,i,m
175,i,i
176,i,m
177,s,m
178,m,i
179,i,i
180,i,i
181,s,i
182,m,s
183,s,s
184,s,s
185,s,m
186,i,i
187,m,s
188,s,i
189,m,m
190,m,m
191,m,i
192,m,m
193,i,m
194,i,i
195,i,s
196,i,m
197,s,i
198,m,i
199,i,i
200,i,i
201,i,i
202,i,m
203,i,m
204,m,s
205,m,m
206,i,m
207,i,m
208,m,i
209,i,i
210,s,m
211,i,i
212,i,s
213,i,i
214,s,s
215,s,i
216,i,i
217,m,m
218,i,i
219,s,i
220,m,i
221,i,i
222,i,i
223,s,i
224,s,s
225,s,m
226,i,i
227,m,s
228,i,m
229,i,i
230,s,m
231,m,m
232,i,m
233,m,m
234,s,i
235,m,s
236,m,m
237,m,i
238,m,s
239,m,s
240,m,m
241,m,i
242,m,i
243,s,i
244,s,s
245,i,i
246,m,i
247,s,m
248,s,i
249,i,i
250,m,i
251,i,i
252,i,i
253,i,i
254,i,i
255,s,m
256,i,s
257,i,m
258,i,m
259,m,s
260,i,i
261,i,i
262,i,s
263,i,m
264,i,m
265,i,s
266,s,s
267,s,m
268,i,s
269,s,s
270,i,i
271,m,s
272,i,i
273,i,i
274,i,s
275,m,s
276,i,i
277,m,i
278,m,i
279,i,i
280,i,m
281,s,i
282,i,s
283,m,m
284,s,i
285,i,i
286,s,i
287,i,m
288,s,m
289,s,i
290,i,s
291,i,i
292,m,m
293,m,s
294,i,m
295,m,i
296,m,i
297,s,i
298,i,i
299,i,i
300,m,i
301,i,i
302,i,i
303,s,i
304,s,i
305,m,i
306,s,i
307,m,i
308,m,m
309,i,i
310,i,s
311,m,i
312,i,m
313,i,s
314,m,i
315,s,i
316,i,m
317,i,m
318,m,s
319,m,m
320,m,s
321,m,i
322,m,m
323,m,m
324,m,s
325,i,m
326,m,m
327,i,i
328,m,m
329,s,i
330,m,m
331,i,s
332,i,m
333,s,s
334,s,i
335,s,i
336,i,i
337,m,i
338,i,s
339,i,s
340,m,m
341,m,m
342,i,m
343,i,m
344,m,s
345,m,m
346,m,i
347,m,i
348,m,i
349,m,s
350,s,s
351,m,i
352,m,i
353,m,s
354,m,m
355,i,i
356,s,i
357,m,i
358,m,i
359,m,m
360,s,i
361,m,m
362,i,s
363,i,s
364,s,m
365,m,m
366,i,i
367,i,s
368,i,i
369,s,i
370,i,m
371,i,s
372,s,i
373,i,s
374,s,i
375,i,m
376,m,i
377,i,i
378,m,s
379,i,i
380,i,i
381,s,m
382,i,m
383,i,m
384,i,m
385,m,m
386,i,s
387,m,s
388,m,m
