,l,r
0,2015233,1769485.0
1,1548290,1622033.0
2,1318919,2007060.0
3,2015241,1064990.0
4,1728550,1728563.0
5,1417265,1466424.0
6,1318965,1417276.0
7,1278006,1507391.0
8,1318986,1294400.0
9,1278038,1065030.0
10,1130583,1294413.0
11,1024095,1441872.0
12,1278051,24659.0
13,1392754,1376350.0
14,385141,1359987.0
15,827510,1359995.0
16,1646725,786570.0
17,1302663,909450.0
18,557195,1409181.0
19,1736843,1319070.0
20,942233,57508.0
21,344239,1409196.0
22,1671351,1663161.0
23,1736887,401601.0
24,1065166,573635.0
25,57553,1376459.0
26,508114,1335507.0
27,1065178,671957.0
28,1155295,1425621.0
29,73954,1278185.0
30,1646847,1474793.0
31,409861,1679615.0
32,1311006,24849.0
33,1392926,139543.0
34,1401122,1483032.0
35,2007344,16668.0
36,1360179,532764.0
37,1392970,1392932.0
38,16719,1335597.0
39,1728847,1409346.0
40,2015571,1409372.0
41,1442134,1450345.0
42,557403,1737105.0
43,1335645,2294176.0
44,2007389,25010.0
45,1368417,1393083.0
46,1016172,1663434.0
47,1212800,1319384.0
48,1393034,672228.0
49,1089948,1327607.0
50,1261995,1450492.0
51,1499594,1204752.0
52,1417675,762387.0
53,2015704,1589782.0
54,1335777,1409561.0
55,2294251,1770014.0
56,1335790,442961.0
57,1335807,1417810.0
58,1335832,705116.0
59,1950241,1303153.0
60,1335845,1450610.0
61,1950245,1491577.0
62,1450580,1409659.0
63,1278565,1409671.0
64,1057387,1327767.0
65,1155695,1393309.0
66,1827444,582306.0
67,1278598,1286825.0
68,1294986,1704627.0
69,2015926,1360565.0
70,1950393,1393334.0
71,1360579,541367.0
72,1696456,1729214.0
73,1352396,983759.0
74,1639124,1319649.0
75,2015966,1319657.0
76,1278688,770802.0
77,172769,369396.0
78,1278697,1311483.0
79,74477,1123072.0
80,1303297,1442572.0
81,1950485,1319704.0
82,115486,1450796.0
83,942898,1033010.0
84,1278774,1778482.0
85,41848,246584.0
86,2294656,1311558.0
87,1377167,1753932.0
88,1377175,557901.0
89,1647512,1000272.0
90,1704860,893804.0
91,1565599,1311597.0
92,1377191,557944.0
93,1541032,1295231.0
94,1631145,1950602.0
95,1278903,1393552.0
96,1360843,2007954.0
97,656354,295849.0
98,1278947,1377198.0
99,1336299,328632.0
100,1516536,1319881.0
101,1287162,1311697.0
102,1377274,1434598.0
