,0
0,sensory
1,sensory
2,sensory
3,sensory
4,sensory
5,sensory
6,sensory
7,sensory
8,sensory
9,sensory
10,sensory
11,inter
12,inter
13,inter
14,inter
15,inter
16,inter
17,inter
18,inter
19,sensory
20,sensory
21,inter
22,inter
23,inter
24,inter
25,motor
26,sensory
27,sensory
28,sensory
29,sensory
30,sensory
31,sensory
32,sensory
33,sensory
34,sensory
35,motor
36,sensory
37,inter
38,inter
39,inter
40,inter
41,inter
42,inter
43,inter
44,sensory
45,sensory
46,sensory
47,sensory
48,sensory
49,sensory
50,sensory
51,sensory
52,sensory
53,sensory
54,sensory
55,sensory
56,sensory
57,sensory
58,sensory
59,sensory
60,sensory
61,sensory
62,sensory
63,motor
64,sensory
65,sensory
66,inter
67,inter
68,inter
69,motor
70,inter
71,motor
72,motor
73,motor
74,motor
75,motor
76,motor
77,motor
78,motor
79,motor
80,motor
81,motor
82,motor
83,motor
84,motor
85,motor
86,inter
87,sensory
88,sensory
89,sensory
90,sensory
91,sensory
92,sensory
93,sensory
94,inter
95,inter
96,inter
97,inter
98,inter
99,inter
100,inter
101,inter
102,inter
103,inter
104,inter
105,sensory
106,sensory
107,sensory
108,sensory
109,sensory
110,sensory
111,sensory
112,sensory
113,sensory
114,sensory
115,sensory
116,sensory
117,sensory
118,sensory
119,sensory
120,inter
121,inter
122,motor
123,motor
124,motor
125,sensory
126,sensory
127,sensory
128,sensory
129,sensory
130,sensory
131,sensory
132,sensory
133,sensory
134,sensory
135,sensory
136,sensory
137,sensory
138,sensory
139,sensory
140,sensory
141,sensory
142,sensory
143,sensory
144,sensory
145,sensory
146,sensory
147,inter
148,inter
149,inter
150,motor
151,motor
152,motor
153,sensory
154,sensory
155,sensory
156,sensory
157,sensory
158,inter
159,inter
160,inter
161,inter
162,inter
163,inter
164,inter
165,inter
166,inter
167,inter
168,inter
169,inter
170,inter
171,inter
172,inter
173,inter
174,inter
175,sensory
176,sensory
177,sensory
178,sensory
179,sensory
180,sensory
181,sensory
182,sensory
183,inter
184,inter
185,sensory
186,motor
187,sensory
188,sensory
189,inter
190,sensory
191,inter
192,inter
193,motor
194,inter
195,inter
196,inter
197,inter
198,inter
199,inter
200,motor
201,inter
202,inter
203,motor
204,motor
205,sensory
206,sensory
207,motor
208,motor
209,sensory
210,sensory
211,sensory
212,sensory
213,inter
214,inter
215,sensory
216,sensory
217,sensory
218,inter
219,inter
220,inter
221,inter
222,motor
223,motor
224,motor
225,motor
226,motor
227,inter
228,inter
229,inter
230,inter
231,inter
232,sensory
233,inter
234,sensory
235,inter
236,inter
237,inter
238,inter
239,inter
240,inter
241,inter
242,inter
243,inter
244,inter
245,sensory
246,sensory
247,sensory
248,sensory
249,inter
250,motor
251,sensory
252,inter
253,sensory
254,inter
255,sensory
256,motor
257,sensory
258,sensory
259,sensory
