,count
1,24
2,10
3,4
4,2
5,4
6,4
7,4
8,2
9,1
10,1
11,1
12,1
13,21
14,1
15,2
16,2
17,2
18,2
19,2
20,2
21,7
22,2
23,6
24,2
25,2
26,2
27,2
28,2
29,26
30,2
31,5
32,8
33,2
34,2
35,1
36,1
37,2
38,2
39,2
40,2
41,4
42,2
44,1
45,2
46,2
47,2
48,2
49,10
50,2
51,1
52,1
53,2
54,1
55,2
56,2
57,6
58,2
59,2
60,2
61,4
62,5
63,6
64,32
65,4
66,6
67,2
68,6
69,3
70,2
71,20
72,2
73,17
74,2
75,2
76,2
77,2
78,2
79,17
80,42
81,4
82,3
83,4
84,2
85,2
86,2
87,2
88,11
89,7
90,1
91,21
92,2
93,2
94,8
95,12
96,6
97,4
98,8
99,1
100,22
101,16
103,2
104,6
105,6
106,2
107,4
108,3
109,5
110,2
111,2
112,1
113,2
114,6
115,2
116,4
117,5
118,3
119,2
120,7
121,2
122,4
123,6
124,12
125,4
126,4
127,4
128,3
129,2
130,2
131,2
133,2
134,2
136,2
137,2
138,2
139,2
140,4
141,2
142,2
143,4
144,2
145,2
146,11
147,4
148,2
149,2
150,2
151,2
152,2
153,2
154,4
155,9
156,3
157,2
158,2
159,7
160,2
161,6
162,8
163,9
164,2
165,9
166,2
167,4
168,2
169,3
170,2
171,4
172,2
173,4
174,2
175,2
176,2
177,2
178,4
179,1
180,2
