,left,right
0,2015233,1769485.0
1,1548290,1622033.0
2,1318919,1064990.0
3,2015241,1466405.0
4,1318929,1728563.0
5,1318938,1466424.0
6,1728550,1417276.0
7,1417265,1507391.0
8,1318965,1294400.0
9,1278006,1294413.0
10,1318986,1441872.0
11,1278038,1327186.0
12,1130583,24659.0
13,1024095,1376350.0
14,1278051,1359971.0
15,1392742,1359987.0
16,1392754,1065083.0
17,385141,1335430.0
18,827510,786570.0
19,1646725,909450.0
20,1302663,1204373.0
21,557195,1433751.0
22,1736843,1409181.0
23,1319057,1319070.0
24,1384593,57508.0
25,942233,1409196.0
26,344239,1663161.0
27,1073332,1499326.0
28,1671351,401601.0
29,1736887,573635.0
30,2015432,1376459.0
31,1065166,1335507.0
32,57553,671957.0
33,508114,1425621.0
34,1065178,1278185.0
35,1155295,1474793.0
36,73954,1482990.0
37,1409275,1466608.0
38,1646847,1483005.0
39,409861,1679615.0
40,1311006,1286402.0
41,1392926,24849.0
42,1401122,139543.0
43,1360179,1483032.0
44,1392970,16668.0
45,16719,532764.0
46,1728847,1392932.0
47,1204562,1335597.0
48,2015571,1417531.0
49,1442134,1409346.0
50,557403,1417545.0
51,1335645,1409372.0
52,1483099,1728870.0
53,2007389,1450345.0
54,1204576,1737105.0
55,1368417,1663395.0
56,1204589,25010.0
57,106879,1393083.0
58,1212800,1663434.0
59,1130883,1663439.0
60,1393034,1278418.0
61,1089948,1319384.0
62,1647016,1343962.0
63,1261995,672228.0
64,1335727,1401321.0
65,1499594,1622511.0
66,1827286,1327607.0
67,770519,1450492.0
68,2015704,1663484.0
69,1335777,1204752.0
70,1335790,762387.0
71,2015759,1589782.0
72,1335832,1409561.0
73,1950241,1770014.0
74,1335845,1344059.0
75,1409579,1589825.0
76,1647148,442961.0
77,844338,1417810.0
78,1278565,1344084.0
79,1450597,1434209.0
80,1647206,1294947.0
81,1057387,1303153.0
82,1155695,1450610.0
83,1827444,1491577.0
84,1278598,1409659.0
85,1294986,1393284.0
86,2015919,1409671.0
87,1729206,1327767.0
88,1950393,1393309.0
89,2015926,1409695.0
90,1442492,582306.0
91,1360579,1286825.0
92,1696456,1360557.0
93,1352396,1704627.0
94,1639124,1360565.0
95,2015966,1393334.0
96,1278688,541367.0
97,172769,1278649.0
98,1630952,1729214.0
99,1278697,983759.0
100,74477,180953.0
101,1303297,1319649.0
